pi = 0, dsPos = 1.0 mm, fi = 0, fluence = 10.0 Ko, weight = 6
pi = 1, dsPos = 2.0 mm, fi = 0, fluence = 10.0 Ko, weight = 6
pi = 2, dsPos = 3.0 mm, fi = 0, fluence = 10.0 Ko, weight = 6
pi = 3, dsPos = 4.0 mm, fi = 0, fluence = 10.0 Ko, weight = 6
pi = 4, dsPos = 5.0 mm, fi = 0, fluence = 10.0 Ko, weight = 6
pi = 5, dsPos = 7.0 mm, fi = 0, fluence = 10.0 Ko, weight = 6
pi = 6, dsPos = 9.0 mm, fi = 0, fluence = 10.0 Ko, weight = 6
pi = 7, dsPos = 10.0 mm, fi = 0, fluence = 10.0 Ko, weight = 6
pi = 8, dsPos = 11.0 mm, fi = 0, fluence = 10.0 Ko, weight = 6
pi = 9, dsPos = 13.0 mm, fi = 0, fluence = 10.0 Ko, weight = 6
pi = 10, dsPos = 16.0 mm, fi = 0, fluence = 10.0 Ko, weight = 6
pi = 11, dsPos = 19.0 mm, fi = 0, fluence = 10.0 Ko, weight = 6
pi = 12, dsPos = 20.0 mm, fi = 0, fluence = 10.0 Ko, weight = 6
pi = 13, dsPos = 22.0 mm, fi = 0, fluence = 10.0 Ko, weight = 6
pi = 14, dsPos = 24.0 mm, fi = 0, fluence = 10.0 Ko, weight = 6
pi = 15, dsPos = 28.0 mm, fi = 0, fluence = 10.0 Ko, weight = 6
pi = 16, dsPos = 32.0 mm, fi = 0, fluence = 10.0 Ko, weight = 6
